"","name","meet_year","race_group","class_year","team","meet1","meet2","meet3","Minnesota Intercollegiate Championships"
"915","  Vought, Colleen",2015,"Women","FR","Concordia Moorhead","31.51666667","28.4",29.958333335,"29.07"
"916","  Vought, Colleen",2016,"Women","SO","Concordia Moorhead","32.04","31.55",31.795,"29.96333333"
"917","  Vought, Colleen",2017,"Women","JR","Concordia Moorhead","30.41666667","29.87833333",30.1475,"30.82666667"
"918","  Vought, Elizabeth",2015,"Women","FR","Concordia Moorhead","28.79666667","27.16666667",27.98166667,"27.51"
"919","  Vought, Elizabeth",2016,"Women","SO","Concordia Moorhead","27.24","26.95",27.58333333,"26.815"
"920","  Vought, Elizabeth",2017,"Women","JR","Concordia Moorhead","27.35","28.56166667",27.955833335,"26.42333333"
"921","  Waage, Bryana",2016,"Women","SO","St. Catherine","24.39","28.62333333",26.506666665,"25.49666667"
"922","  Waage, Bryana",2017,"Women","JR","St. Catherine","26.78","26.555",26.6675,"25.38833333"
"923","  Waananen, Amy",2012,"Women","SO","St. Olaf","25.71166667","25.31",25.510833335,"24.445"
"924","  Waananen, Amy",2014,"Women","SR","St. Olaf","26.515","23.34833333",24.931666665,"22.77666667"
"925","  Wachowiak, Jena",2017,"Women","FR","St. Benedict","28.145","25.51666667",26.830833335,"25.645"
"926","  Wachter, Karl",2016,"Men","FR","St. Thomas","32.68333333","27.68166667",30.1825,"28.48166667"
"927","  Waddell, Samantha",2016,"Women","JR","St. Olaf","32.29833333","32.22166667",32.26,"30.11166667"
"928","  Wagner, Eric",2015,"Men","JR","Gustavus Adolphus","30.13","31.25",30.69,"31.27666667"
"929","  Walker, Abigail",2015,"Women","FR","Carleton","24.29","24.8",26.17333333,"25.09166667"
"930","  Walker, Abigail",2016,"Women","SO","Carleton","24.80833333","25.78333333",25.29583333,"24.93666667"
"931","  Wall, Anna",2014,"Women","FR","St. Olaf","27.87","27.01",27.44,"26.65"
"932","  Wall, Anna",2016,"Women","JR","St. Olaf","27.73","26.06166667",26.895833335,"26.10333333"
"933","  Wall, Sara",2017,"Women","FR","St. Benedict","26.43666667","26.39833333",26.4175,"26.37833333"
"934","  Waltman, Mike",2012,"Men","SO","Macalester","29.985","28.65833333",29.321666665,"27.51"
"935","  Waltman, Mike",2014,"Men","SR","Macalester","28.765","28.36",28.5625,"27.82333333"
"936","  Walton, Melody",2012,"Women","SO","Bethel","24.995","25.10666667",25.050833335,"24.835"
"937","  Walton, Rachel",2012,"Women","SO","Bethel","26.57","25.745",26.1575,"25.74833333"
"938","  Walton, Rebecca",2015,"Women","FR","St. Olaf","25.78833333","24.315",25.051666665,"25.265"
"939","  Walton, Rebecca",2016,"Women","SO","St. Olaf","26.19","24.75166667",25.470833335,"24.74666667"
"940","  Walz, Jenny",2016,"Women","JR","St. Thomas","23.40333333","25.86",24.631666665,"23.53333333"
"941","  Walz, Jenny",2017,"Women","SR","St. Thomas","23.76833333","26.075",24.921666665,"23.29666667"
"942","  Weaver, Megan ",2017,"Women","JR","Gustavus Adolphus","25.315","25.47833333",25.396666665,"25.39333333"
"943","  Weber, Emma",2016,"Women","SR","St. Benedict","25.3","23.06166667",23.76333333,"23.55166667"
"944","  Weber, Hannah",2014,"Women","FR","Concordia Moorhead","29.05166667","26.86666667",27.95916667,"27.08666667"
"945","  Weber, Hannah",2015,"Women","SO","Concordia Moorhead","30.645","29.1",29.8725,"29.13833333"
"946","  Weeks, Ahna ",2012,"Women","SO","Carleton","24.64166667","24.22",24.430833335,"23.79166667"
